9.978500328902687e-07,160953349.75235492,163865970.4813243,107424390.29648153
1.1774630388105168e-06,142783464.40387496,145289905.1149824,95289664.29810803
1.3570760447307654e-06,128105619.10872541,130208206.46231203,85474952.57415365
1.5366890506510136e-06,116007584.31755637,117721877.81655088,77374809.83356123
1.7163020565712621e-06,105869263.15152764,107216146.63590167,70577914.96916996
1.8959150624915105e-06,97254511.85144761,98256212.80452636,64795033.33300935
2.075528068411759e-06,89847664.97635897,90525837.14059137,59816808.71836759
2.255141074332007e-06,83414610.96082477,83789501.10678397,55487912.44128233
2.434754080252255e-06,77778027.32155661,77868207.62784818,51690619.12215442
2.6143670861725035e-06,72801119.15483078,72623497.54726978,48334033.88790784
2.7939800920927523e-06,68376645.77289234,67946601.7037796,45346831.51751213
2.9735930980130006e-06,64419330.4618471,63750894.76035524,42672237.137400016
3.1532061039332486e-06,60860502.03114007,59966536.93581277,40264484.35077046
3.332819109853497e-06,57644235.85853114,56536599.22882438,38086265.962962516
3.5124321157737457e-06,54724526.91114257,53414210.77116016,36106864.10056007
3.692045121693994e-06,52063185.505651094,50560430.81635221,34300759.94403943
3.871658127614242e-06,49628252.23446831,47942639.785615414,32646582.436825357
4.05127113353449e-06,47392778.68203272,45533301.55637375,31126301.948076356
4.230884139454739e-06,45333891.38350088,43309014.41170573,29724608.822799504
4.410497145374988e-06,43432052.429179214,41249757.822099626,28428421.917923916
4.5901101512952354e-06,41670478.293571055,39338302.70732904,27226501.32125561
4.769723157215485e-06,40034675.12643849,37559744.09141661,26109140.22773085
4.949336163135732e-06,38512062.71207909,35901115.724300444,25067912.22136485
5.128949169055981e-06,37091674.28604052,34351090.79900601,24095471.61660964
5.308562174976228e-06,35763904.19929995,32899726.47681785,23185384.93901219
5.488175180896477e-06,34520305.76490062,31538258.84165131,22331994.39073073
5.667788186816725e-06,33353422.049118064,30258936.17249083,21530306.403351
5.847401192736974e-06,32256644.28494023,29054872.213024136,20775894.812276937
6.027014198657223e-06,31224096.455814928,27919932.161116008,20064823.844493806
6.206627204577471e-06,30250533.707138777,26848631.47711054,19393581.46820877
6.38624021049772e-06,29331261.382076297,25836050.54362911,18759022.790524624
6.565853216417967e-06,28462063.371287316,24877765.026937127,18158323.408394326
6.7454662223382166e-06,27639142.150541,23969783.643668007,17588939.107427943
6.925079228258463e-06,26859068.351531643,23108496.762182068,17048571.291528646
7.104692234178713e-06,26118736.198737517,22290631.25267111,16535138.475627892
7.28430524009896e-06,25415326.38397842,21513211.216338936,16046749.796304982
7.463918246019209e-06,24746273.609876532,20773525.7245835,15581684.393806912
7.643531251939456e-06,24109237.81670298,20069098.286818378,15138372.141604377
7.823144257859706e-06,23502081.557896085,19397663.044339903,14715377.549686037
8.002757263779956e-06,22922847.354168802,18757142.121535353,14311386.206036031
8.182370269700203e-06,22369739.39372051,18145625.268174242,13925191.035195883
8.361983275620451e-06,21841108.24721778,17561355.401288014,13555683.016817166
8.5415962815407e-06,21335435.42967649,17002710.499500558,13201840.636760132
8.721209287460948e-06,20851322.076221056,16468193.404183742,12862722.054504914
8.900822293381196e-06,20387476.13885974,15956419.021260072,12537457.578376593
9.080435299301444e-06,19942704.510969788,15466102.650639012,12225242.782114768
9.260048305221693e-06,19515903.04449557,14996053.855664197,11925333.293642012
9.439661311141941e-06,19106047.883660704,14545164.546533113,11637038.278314129
9.619274317062188e-06,18712190.813243307,14112405.748559238,11359717.683352325
9.798887322982438e-06,18333450.18329063,13696818.08009625,11092776.176127706
9.978500328902684e-06,17969006.830960106,13297506.107558638,10835660.027805183
1.177463038810517e-05,14966030.532572078,10039742.917698404,8706811.09772194
1.3570760447307652e-05,12801854.742801005,7752321.311329505,7159905.774524597
1.5366890506510137e-05,11177605.465422703,6094542.384861702,5991220.729766269
1.716302056571262e-05,9919305.588886598,4863548.189875194,5081146.0183663415
1.8959150624915104e-05,8919992.125721565,3931222.199437644,4355236.679823951
2.0755280684117588e-05,8111555.343152709,3213627.4364881176,3765430.859733683
2.2551410743320075e-05,7449110.007251669,2654340.0186053994,3279625.835915407
2.4347540802522555e-05,6902048.826480588,2214533.6270818855,2875604.1551872133
2.6143670861725042e-05,6449022.799596951,1866983.5099296598,2537570.41841029
2.7939800920927522e-05,6075020.916180387,1592423.3469191375,2254151.4718938516
2.973593098013001e-05,5769494.328190106,1377236.1808116762,2017132.305958231
3.153206103933249e-05,5525084.46640659,1211916.0620414757,1820585.1166745643
3.3328191098534976e-05,5336788.597187887,1090036.5951047086,1660268.7198185178
3.512432115773746e-05,5201436.5668168105,1007572.106658746,1533236.5245642387
3.692045121693994e-05,5117347.200980648,962440.3680237258,1437586.7162732703
3.8716581276142434e-05,5084068.864168174,954170.3369929218,1372292.6143221722
4.051271133534491e-05,5102166.180663327,983650.642811598,1337072.7565221505
4.2308841394547394e-05,5173045.531105783,1052951.8347668885,1332283.4108600249
4.410497145374987e-05,5298807.960115454,1165215.7068325067,1358825.9526425553
4.590110151295236e-05,5482091.865617153,1324577.6413957595,1418055.953768485
4.769723157215485e-05,5725850.193433476,1536058.8852443458,1511671.285662301
4.949336163135733e-05,6033008.608754157,1805358.47756832,1641551.1361478793
5.128949169055981e-05,6405967.905461434,2138487.1116577485,1809519.880599543
5.30856217497623e-05,6845935.714062625,2541206.1967650754,2017015.7252890903
5.488175180896478e-05,7352088.817634846,3018250.4010284483,2264652.906666037
5.667788186816727e-05,7920593.278037752,3572325.843588831,2551680.0958608775
5.8474011927369746e-05,8543553.18497419,4202902.678500787,2875362.3283662917
